"","Basin","Year","Transect","Interval","NperHa","STRATUM","name","area_km2","geometry"
"709","WB",2015,1,28,13461.38631,"1","Detroit R.",929,c(-83.08755183, 41.90195517)
"710","WB",2015,1,29,17607.50991,"1","Detroit R.",929,c(-83.08130204, 41.90967963)
"711","WB",2015,1,30,20839.86375,"1","Detroit R.",929,c(-83.07501742, 41.91728892)
"712","WB",2015,1,31,17316.823,"1","Detroit R.",929,c(-83.06869917, 41.925)
"713","WB",2015,1,32,18238.0294,"1","Detroit R.",929,c(-83.0623388, 41.93263611)
"714","WB",2015,1,33,17255.39158,"1","Detroit R.",929,c(-83.05616825, 41.94029175)
"715","WB",2015,1,34,17772.42845,"1","Detroit R.",929,c(-83.04977917, 41.94794333)
"716","WB",2015,1,35,17164.14382,"1","Detroit R.",929,c(-83.0434639, 41.9555561)
"717","WB",2015,1,36,14118.66066,"1","Detroit R.",929,c(-83.03728542, 41.96322267)
"718","WB",2015,1,37,12484.76319,"1","Detroit R.",929,c(-83.03096225, 41.9708745)
"719","WB",2015,1,38,10450.32451,"1","Detroit R.",929,c(-83.02473283, 41.978449)
"720","WB",2015,1,39,9456.91388,"1","Detroit R.",929,c(-83.01832857, 41.98617964)
"721","WB",2015,1,40,8786.549811,"1","Detroit R.",929,c(-83.012025, 41.99388933)
"727","WB",2015,2,6,11837.08473,"1","Detroit R.",929,c(-82.90178567, 41.82359967)
"728","WB",2015,2,7,11854.33899,"1","Detroit R.",929,c(-82.90202167, 41.8312425)
"729","WB",2015,2,8,23142.29125,"1","Detroit R.",929,c(-82.90202685, 41.83978722)
"730","WB",2015,2,9,19916.91071,"1","Detroit R.",929,c(-82.90209627, 41.84867147)
"731","WB",2015,2,10,14112.1474,"1","Detroit R.",929,c(-82.90224753, 41.85741159)
"732","WB",2015,2,11,26988.34459,"1","Detroit R.",929,c(-82.90325074, 41.86502519)
"733","WB",2015,2,12,23406.32723,"1","Detroit R.",929,c(-82.90340833, 41.873985)
"734","WB",2015,2,13,39854.83797,"1","Detroit R.",929,c(-82.90396311, 41.88298967)
"735","WB",2015,2,14,60028.79963,"1","Detroit R.",929,c(-82.90432667, 41.89189)
"736","WB",2015,2,15,82299.62034,"1","Detroit R.",929,c(-82.90471183, 41.90083125)
"737","WB",2015,2,16,76338.01949,"1","Detroit R.",929,c(-82.90511542, 41.90982125)
"738","WB",2015,2,17,87800.05196,"1","Detroit R.",929,c(-82.90535694, 41.91874676)
"739","WB",2015,2,18,115846.5589,"1","Detroit R.",929,c(-82.90587425, 41.92764767)
"740","WB",2015,2,19,38924.64503,"1","Detroit R.",929,c(-82.90619333, 41.93661333)
"741","WB",2015,2,20,28906.01301,"1","Detroit R.",929,c(-82.90680722, 41.94546444)
"742","WB",2015,2,21,24170.97632,"1","Detroit R.",929,c(-82.90724911, 41.95455012)
"743","WB",2015,2,22,34536.00389,"1","Detroit R.",929,c(-82.90774782, 41.96295139)
"815","WB",2016,1,13,6595.282532,"1","Detroit R.",929,c(-83.18369833, 41.78480667)
"816","WB",2016,1,14,5650.987419,"1","Detroit R.",929,c(-83.17761833, 41.7925607)
"817","WB",2016,1,15,3663.489528,"1","Detroit R.",929,c(-83.17146627, 41.80029921)
"818","WB",2016,1,16,3501.172277,"1","Detroit R.",929,c(-83.1650687, 41.80792741)
"819","WB",2016,1,17,2494.499143,"1","Detroit R.",929,c(-83.15874233, 41.81559467)
"820","WB",2016,1,18,3299.733498,"1","Detroit R.",929,c(-83.15264833, 41.82330167)
"821","WB",2016,1,19,5368.562233,"1","Detroit R.",929,c(-83.14627208, 41.83094094)
