RSYOY,RSYAO,ES,YPYOY,OTHER,LONG,Sdepth,Fdepth,Year,EW,depthcat,Layer
0,0.9931,0,0,0.0069,-81.075,23,17,2016,1,1,1
0.68,0,0,0.12,0.2,-81.07,22,13.4,2017,1,1,1
0.6875,0.1563,0.0313,0,0.1249,-81.067,21.6,7.6,2013,1,1,0
0,0.9983,0,0,0.0017,-81.047,20.4,14,2011,1,1,1
0.5323,0.4032,0,0,0.0645,-81.043,22,10.7,2016,1,1,0
0.9091,0,0,0,0.0909,-81.037,22,9.4,2017,1,1,0
0.0156,0.9844,0,0,0,-81.034,14.5,9,2016,1,0,0
0.7188,0.0625,0.0938,0,0.1249,-81.027,21.9,3.7,2013,1,1,0
0.002,0,0.998,0,0,-81.025,13.3,6,2012,1,0,0
0.0297,0,0.9653,0,0.005,-81.023,13.3,11,2012,1,0,1
0.0122,0,0.9756,0.002,0.0102,-81.022,13.6,8,2013,1,0,0
0,0.3162,0.6744,0,0.0094,-81.02,13.6,11,2013,1,0,0
0,0.9976,0,0,0.0024,-81.018,21.9,17,2011,1,1,1
0,1,0,0,0,-81.013,11.7,7,2009,1,0,0
0.9677,0.0323,0,0,0,-81.013,13.7,6,2016,1,0,0
0,0.2626,0.6816,0,0.0558,-81.013,14.9,5,2011,1,0,0
0.0035,0.6431,0.3463,0,0.0071,-81.009,14.8,7,2011,1,0,0
0.9176,0.0672,0,0.0034,0.0118,-81.008,13.2,8,2017,1,0,0
0.5886,0.0022,0.3234,0.0451,0.0407,-81.008,13.5,12,2014,1,0,0
0,0,0.087,0.1304,0.7826,-81.008,14.2,5,2018,1,0,0
0.4831,0,0,0.5169,0,-81.007,13.5,5,2019,1,0,0
0.2747,0.1184,0.5463,0.0197,0.0409,-81.006,13.5,11,2014,1,0,0
0,1,0,0,0,-81.006,17.5,7,2009,1,0,0
0,0.4609,0.4474,0.0022,0.0895,-81.005,14.6,6,2010,1,0,0
0.2699,0.7291,0,0,0.001,-81.004,13.9,7,2015,1,0,0
0.9574,0.0329,0.0019,0.0019,0.0059,-81.004,14,8,2015,1,0,0
0,1,0,0,0,-81.003,17.4,9,2009,1,0,0
0.3684,0,0.0526,0.2105,0.3685,-81.001,14.5,9,2018,1,0,0
0.6759,0.0044,0,0.3169,0.0028,-81,15.9,10,2019,1,0,0
0.9798,0,0,0.0144,0.0058,-80.999,15.2,5,2017,1,0,0
0,1,0,0,0,-80.996,16.7,11,2009,1,0,0
0,0.4828,0.4828,0,0.0344,-80.991,17,10,2010,1,0,0
0.9623,0,0,0,0.0377,-80.99,21,8.5,2016,1,1,0
0,0,0.9929,0,0.0071,-80.989,18,5,2011,1,0,0
0.9953,0.0047,0,0,0,-80.989,18.1,13,2015,1,0,0
0.0217,0,0.9133,0.0602,0.0048,-80.987,18.6,8,2013,1,0,0
0.9926,0.0037,0,0.0029,0.0008,-80.986,18.1,9,2016,1,0,0
0,0.0769,0.8462,0,0.0769,-80.985,17,7,2010,1,0,0
0,0.1021,0.8943,0,0.0036,-80.985,17.5,9,2011,1,0,0
0.7245,0.0102,0.2551,0.0102,0,-80.985,17.7,11,2012,1,0,1
0.9942,0.0029,0,0,0.0029,-80.985,18.1,10,2015,1,0,0
0.9065,0.0841,0,0.0093,0.0001,-80.985,18.1,12,2016,1,0,0
0,0.8462,0.1154,0,0.0384,-80.984,16.7,13,2010,1,0,0
0.9971,0,0,0.0029,0,-80.984,18.2,6,2016,1,0,0
0.0737,0,0.8842,0.0421,0,-80.983,18.4,8,2012,1,0,0
0,0.001,0.9923,0.001,0.0057,-80.981,16.9,7,2011,1,0,0
0.9897,0.0069,0,0.0017,0.0017,-80.981,18.1,16,2015,1,0,1
0.001,0,0.9951,0.001,0.0029,-80.98,18.6,12,2013,1,0,0
0.7373,0.2342,0,0.0158,0.0127,-80.979,18.4,14,2017,1,0,1
0.9838,0.0029,0,0.0074,0.0059,-80.975,18.2,10,2017,1,0,0
0.9118,0,0,0.0809,0.0073,-80.975,19.2,10,2019,1,0,0
0.1154,0,0,0.1923,0.6923,-80.974,18.6,5,2018,1,0,0
0.0551,0.2316,0.6912,0.0147,0.0074,-80.973,18.4,14,2013,1,0,0
0.2162,0,0,0.7838,0,-80.973,19.8,5,2019,1,1,0
0.9251,0,0.0403,0.0259,0.0087,-80.971,18.2,13,2012,1,0,1
0,0.1867,0,0,0.8133,-80.97,17.1,9,2011,1,0,0
0.967,0.012,0,0.009,0.012,-80.969,18.8,12,2017,1,0,0
0.8223,0,0,0.1763,0.0014,-80.965,19.7,9,2019,1,1,0
0.36,0,0,0.5,0.14,-80.958,19.3,12,2018,1,0,0
0,0,0,0.6923,0.3077,-80.948,19.5,16,2018,1,1,1
0,0,0.9455,0.0364,0.0181,-80.944,20.6,9,2012,1,1,0
0.6136,0.2841,0.0682,0,0.0341,-80.938,20.6,13,2012,1,1,1
0.1295,0.7986,0.0576,0.0072,0.0071,-80.938,20.6,15,2012,1,1,1
0.93,0,0.005,0.03,0.035,-80.937,20.6,12,2013,1,1,0
