RSYOY,RSYAO,ES,YPYOY,OTHER,LAT,LONG,Sdepth,Fdepth,Layer,Year
12,1,8,2,5,41.85183333,-81.40466667,20.4216,9,0,2012
4,0,31,0,12,42.21166667,-81.80283333,20.4,9,0,2013
21,197,4,0,2,42.49283333,-81.44366667,19.9,9,0,2010
569,0,0,122,1,42.52583333,-80.96483333,19.7,9,0,2019
6,388,153,15,3,42.22416667,-81.81483333,19.4,9,0,2010
1349,5,0,4,1,42.54883333,-80.98633333,18.1,9,0,2016
0,84,736,0,3,42.5675,-80.98466667,17.5,9,0,2011
0,119,0,0,0,42.57416667,-81.00316667,17.4,9,0,2009
0,14,0,0,61,41.9208,-80.9703,17.0688,9,0,2011
17,5,0,10,4,42.53766667,-81.45783333,16,9,0,2019
27,1701,0,0,0,42.60833333,-81.034,14.5,9,0,2016
7,0,1,4,7,42.60733333,-81.00116667,14.5,9,0,2018
40,18,3046,8,95,42.3276,-81.2766,14.2,9,0,2014
22,1305,1,22,28,42.247,-81.836,13.9,9,0,2019
96,76,730,1,7,42.25383333,-81.83233333,12,9,0,2013
49,166,1605,0,45,42.56033333,-81.4765,11.8,9,0,2013
0,4725,18,5,3,42.26316667,-81.82733333,11.3,9,0,2010
43,0,0,4,2,41.88077,-81.41889,20,8.8,0,2016
51,0,0,0,2,41.96379,-80.99036,21,8.5,0,2016
10,0,127,38,24,42.0349,-81.4338,24.4,8,0,2014
164,3,0,2,1,42.09916667,-81.72966667,24.2,8,0,2015
159,0,0,0,1,42.34966667,-81.3725,22.3,8,0,2015
137,0,0,23,0,42.3625,-80.913,21.8,8,0,2019
3,0,0,5,19,42.06266667,-82.2235,21.5,8,0,2019
0,0,0,46,2,42.3815,-80.916,21.3,8,0,2018
0,17,0,0,0,41.8825,-81.4177,21.0312,8,0,2011
1130,3,0,1,4,42.032,-82.20416667,20.9,8,0,2015
64,3,0,0,0,42.39833333,-80.92233333,20.9,8,0,2015
84,0,0,5,0,41.924,-82.16433333,20.9,8,0,2016
6,3,818,0,3,42.20916667,-81.80416667,20.7,8,0,2011
22,0,0,57,125,42.04216667,-82.22433333,20.5,8,0,2016
539,0,0,4,3,42.478,-81.43366667,19.9,8,0,2016
503,0,0,0,3,42.487,-81.441,19.3,8,0,2015
179,9,0,6,7,42.23016667,-81.81583333,19.1,8,0,2017
9,0,379,25,2,42.5335,-80.98666667,18.6,8,0,2013
7,0,84,4,0,42.53633333,-80.98316667,18.4,8,0,2012
13,1,12,58,4,42.24716667,-81.8075,17.5,8,0,2012
12,0,3,45,302,42.13016667,-82.25183333,17.2,8,0,2019
0,0,17,5,238,42.135,-82.24166667,17,8,0,2018
2,0,0,6,32,42.54783333,-81.46233333,14.9,8,0,2018
0,284,106,0,2,42.55033333,-81.46633333,14.4,8,0,2011
495,17,1,1,3,42.61916667,-81.00366667,14,8,0,2015
6,0,480,1,5,42.62016667,-81.022,13.6,8,0,2013
546,40,0,2,7,42.62766667,-81.0075,13.2,8,0,2017
0,274,3,0,0,42.55816667,-81.46433333,13.1,8,0,2009
160,31,0,4,6,42.56216667,-81.46966667,12.5,8,0,2017
485,58,299,6,6,42.26566667,-81.82866667,10.9,8,0,2015
1,1067,0,0,2,42.56433333,-81.47133333,10.7,8,0,2010
22,5,1,0,4,42.12166667,-81.06666667,21.6408,7.62,0,2013
3,17,0,0,3,41.68683333,-81.82133333,20.1168,7.62,0,2013
31,2,1,0,0,41.78757,-81.61513,21.9455993,7.619999756,0,2009
1,0,21,0,0,42.01448,-80.75332,20.11679936,7.619999756,0,2009
86,0,31,0,0,41.6376,-81.54745,11.58239963,7.619999756,0,2009
72,0,0,4,15,41.66515,-81.80894,21,7.3,0,2017
9,0,0,1,9,41.91404,-81.43828,21,7.3,0,2017
7,0,0,0,3,41.69528,-81.83661,20,7.3,0,2016
4,1,72,0,1,42.05766667,-81.73783333,24.4,7,0,2010
11,0,0,12,4,42.0695,-81.7405,24,7,0,2016
125,0,0,43,2,42.3375,-81.37516667,23.2,7,0,2019
0,0,0,61,11,42.335,-81.38183333,22.8,7,0,2018
2,1,1259,0,7,42.07316667,-82.229,21.5,7,0,2009
54,0,0,56,3,42.21016667,-81.8065,21.4,7,0,2019
2,0,1644,0,5,42.06083333,-82.225,21,7,0,2010
300,0,0,9,14,42.3725,-80.8895,20.8,7,0,2017
443,16,0,9,9,42.0715,-82.23483333,20.7,7,0,2017
129,0,0,21,0,42.48233333,-81.4345,20.5,7,0,2019
18,0,1733,1,7,42.22233333,-81.80716667,20,7,0,2011
0,525,0,0,0,42.57516667,-81.00583333,17.5,7,0,2009
62,0,1,0,338,42.126,-82.24966667,17.2,7,0,2016
0,1,11,0,1,42.56633333,-80.98466667,17,7,0,2010
0,1,1035,1,6,42.56883333,-80.981,16.9,7,0,2011
219,0,2,18,6,42.14233333,-82.25333333,15.4,7,0,2015
1,182,98,0,2,42.61083333,-81.009,14.8,7,0,2011
261,705,0,0,1,42.6215,-81.00383333,13.9,7,0,2015
318,4,37,3,3,42.55283333,-81.472,13.6,7,0,2012
152,61,0,0,3,42.14666667,-82.26433333,13.6,7,0,2017
0,451,63,0,2,42.258,-81.82966667,11.9,7,0,2011
118,43,3,1,3,42.56383333,-81.47116667,11.9,7,0,2015
79,924,0,1,1,42.56316667,-81.47016667,11.8,7,0,2016
0,60,0,0,0,42.6305,-81.01333333,11.7,7,0,2009
16,0,0,14,6,41.93283333,-82.16233333,21.9,6,0,2019
43,0,8,2,0,41.9145,-82.15666667,21.8,6,0,2010
0,0,1,18,269,42.0445,-82.19616667,21.7,6,0,2018
0,4,165,0,1,41.8685,-82.14366667,21.6,6,0,2009
116,0,0,0,5,41.91583333,-82.15383333,21.3,6,0,2015
22,0,7,0,69,41.94016667,-82.16483333,21.3,6,0,2017
0,0,0,1,20,42.47433333,-81.4335,20.8,6,0,2018
3,0,1,0,0,42.405,-80.925,20.7,6,0,2010
230,0,1,0,1,42.21133333,-81.80283333,20.5,6,0,2015
136,9,8,0,2,42.47933333,-81.4375,20,6,0,2010
29,760,900,91,3,42.22866667,-81.81966667,18.9,6,0,2010
36,0,40,1,0,42.48766667,-81.44183333,18.9,6,0,2012
1355,0,0,4,0,42.548,-80.9835,18.2,6,0,2016
0,206,200,1,40,42.61266667,-81.00466667,14.6,6,0,2010
23,3,705,33,0,42.27433333,-81.81066667,14.5,6,0,2010
289,25,97,4,2,42.275,-81.81566667,13.9,6,0,2015
1,98,31,1,0,42.55583333,-81.461,13.7,6,0,2009
90,3,0,0,0,42.62333333,-81.013,13.7,6,0,2016
2,0,990,0,0,42.61716667,-81.0245,13.3,6,0,2012
0,2238,2,0,0,42.14983333,-82.263,13.2,6,0,2009
21,0,5,24,9,42.2595,-81.82766667,13,6,0,2019
0,7,3120,0,7,42.15383333,-82.26,12.7,6,0,2011
116,0,0,37,2,42.55683333,-81.4675,12.1,6,0,2019
21,2,603,0,15,42.2595,-81.82866667,11.9,6,0,2013
