Lat_M,Lon_M,Date_M,Time_M,LAYER,TRANSECT,FishDensity,Targets_Binned,BottomDepth,N_YAOSized,YAO_FishDens,Stratum,ScaleDensity
42.37741227,-79.63633742,###############################################################################################################################################################################################################################################################,6:36:06,LO,T21B,1547.347657,233,29.020708,192,1275.067597,2.1,-39.35049029
42.3782,-80.27145,###############################################################################################################################################################################################################################################################,3:23:33,LO,T1A,663.7123743,59,29.517215,19,213.7378832,1,-251.6164331
42.37963962,-80.10704098,###############################################################################################################################################################################################################################################################,2:36:13,LO,T1B,663.2324789,137,35.460803,10,48.41112985,1,-284.6817837
42.37963962,-80.10704098,###############################################################################################################################################################################################################################################################,2:36:13,LO,T1B,663.2324789,137,35.460803,10,48.41112985,1,-284.6817837
42.38446085,-79.63835362,###############################################################################################################################################################################################################################################################,6:31:34,LO,T21B,2304.224835,367,31.798787,315,1977.740662,2.1,101.1841228
42.38516685,-79.94623339,###############################################################################################################################################################################################################################################################,7:52:19,LO,T22A,3582.956504,279,39.168835,5,64.21069004,2.2,-281.5218717
42.38517134,-80.27368489,###############################################################################################################################################################################################################################################################,3:19:06,LO,T1A,465.9234719,73,30.448921,27,172.3278595,1,-259.8984378
42.38665441,-80.10950703,###############################################################################################################################################################################################################################################################,2:31:41,LO,T1B,711.3645137,149,36.276781,23,109.8079451,1,-272.4024207
42.38665441,-80.10950703,###############################################################################################################################################################################################################################################################,2:31:41,LO,T1B,711.3645137,149,36.276781,23,109.8079451,1,-272.4024207
42.39143788,-79.64054748,###############################################################################################################################################################################################################################################################,6:27:02,LO,T21B,1037.860529,137,33.790376,66,499.991204,2.1,-194.3657689
42.39215966,-80.27598422,###############################################################################################################################################################################################################################################################,3:14:40,LO,T1A,2236.014947,94,31.536647,5,118.9369653,1,-270.5766167
42.39218919,-79.94822417,###############################################################################################################################################################################################################################################################,7:56:48,LO,T22A,2445.238888,194,39.886811,0,0,2.2,-294.3640097
42.39367693,-80.11132009,###############################################################################################################################################################################################################################################################,4:12:58,LO,T1B,2362.783131,255,36.814464,166,1538.125489,1,13.26108814
42.39367693,-80.11132009,###############################################################################################################################################################################################################################################################,4:12:58,LO,T1B,2362.783131,255,36.814464,166,1538.125489,1,13.26108814
42.39843159,-79.64271667,###############################################################################################################################################################################################################################################################,6:22:30,LO,T21B,258.999846,76,35.659385,15,51.11839065,2.1,-284.1403316
42.3991153,-80.27840799,###############################################################################################################################################################################################################################################################,3:10:14,LO,T1A,955.2972228,68,32.122984,14,196.67884,1,-255.0282417
42.39917268,-79.9505,###############################################################################################################################################################################################################################################################,8:01:20,LO,T22A,1237.948602,258,40.872439,18,86.36850714,2.2,-277.0903083
42.4007,-80.11273333,###############################################################################################################################################################################################################################################################,4:17:19,LO,T1B,3124.347042,297,37.07538,232,2440.567386,1,193.7494675
42.4007,-80.11273333,###############################################################################################################################################################################################################################################################,4:17:19,LO,T1B,3124.347042,297,37.07538,232,2440.567386,1,193.7494675
42.40543895,-79.64481854,###############################################################################################################################################################################################################################################################,6:17:58,LO,T21B,184.0813328,71,37.730281,12,31.11233794,2.1,-288.1415421
42.40609271,-80.28070313,###############################################################################################################################################################################################################################################################,3:05:48,LO,T1A,510.8474068,71,32.424842,27,194.2659152,1,-255.5108267
42.40616667,-79.95265,###############################################################################################################################################################################################################################################################,8:05:53,LO,T22A,1487.114314,204,42.156298,5,36.44888026,2.2,-287.0742337
42.40777811,-80.11417604,###############################################################################################################################################################################################################################################################,4:21:44,LO,T1B,2012.444385,220,37.316863,155,1417.858544,1,-10.79230099
