year,Agency,grid,Latitude,Longitude,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total
2008,ON,45,41.8263,-82.7995,10.1,23.6,23.9,2.9,7.5,,0,0,0,0,19,96,115
2010,ON,44,41.8347,-82.8115,10.1,25.4,25.8,1.2,7.4,,0,115,17,0,323,2182,2637
2007,ON,44,41.8353,-82.8082,10.1,25.3,25.3,1.5,8.3,,0,378,19,4,252,619,1272
2008,ON,44,41.8357,-82.8115,10.1,23.5,24.4,3.1,7,,0,4,12,0,46,4318,4379
2010,ON,66,41.9738,-82.6962,10.1,19.9,24.9,1.5,2.1,,0,0,38,0,0,135,173
2007,ON,75,41.979,-82.6362,10.1,24.9,24.9,1.8,7.9,,0,149,17,0,8,7562,7736
2012,ON,75,41.9812,-82.6363,10.1,24.4,24.9,1.9,8.2,8,0,857,3,13,50,4192,5116
2010,ON,33,41.8238,-82.8967,10,25.3,25.4,1.2,7.5,,4,473,147,4,369,4166,5163
2012,ON,92,41.9412,-82.5518,10,23.6,24.4,1.9,8.3,8,4,936,258,47,36,1703,2983
2019,OH,970,41.6335,-82.7623,10,23.1,24,1.2,4.6,,0,36,0,0,86,946,1069
2007,ON,64,41.7007,-82.7215,10,22.8,23,2,7.5,,0,15,653,0,77,1867,2612
2010,ON,61,41.8023,-82.7338,10,24.6,24.6,1.3,7.8,,0,0,20,0,20,9067,9107
2008,ON,61,41.8025,-82.7358,10,23.4,23.4,1.9,8.7,,0,8,0,0,23,2793,2823
2007,ON,61,41.8028,-82.7328,10,23.1,23.2,2.1,7.2,,0,61,35,0,269,5947,6312
2009,ON,61,41.803,-82.731,10,24.8,24.9,2.5,7.2,,0,0,23,73,204,6484,6784
2011,ON,61,41.8043,-82.7322,10,23.5,24.2,2,6.5,,0,4,4,27,88,3050,3173
2016,ON,61,41.8048,-82.73,10,25.3,25.8,1.3,8.5,8.8,0,19,4,0,52,2641,2715
2019,OH,905,41.8488,-83.1359,10,23.9,24.8,2.1,7.1,,0,0,0,0,163,4581,4744
2019,OH,911,41.8632,-83.1043,10,23.7,24.8,2.1,7.5,,0,9,0,0,26,4466,4501
2009,ON,99,41.9317,-82.5277,10,17.8,23.4,2.4,4.5,,0,0,0,0,82,516,597
2006,ON,99,41.933,-82.5227,10,24.8,24.5,1.5,9,,0,0,7,4,136,93,240
2007,ON,92,41.9398,-82.5513,10,23.4,23.4,1.8,8.8,,0,818,711,4,223,6361,8117
2007,ON,66,41.9743,-82.6933,10,25,25,1.8,8.1,,0,45,19,63,178,5894,6198
2008,ON,75,41.9778,-82.6347,10,22.3,22.4,3.5,7.1,,0,0,66,0,25,178,269
2010,ON,75,41.98,-82.6362,10,23.1,25.2,1.6,6.4,,0,708,4,0,0,252,964
2012,ON,61,41.8045,-82.7322,9.9,23.7,23.7,2.5,9.2,9,0,59,111,111,63,21646,21991
2018,ON,95,41.8088,-82.5825,9.9,24.8,25.8,1.5,6.3,8,0,3,0,0,397,4884,5284
2019,ON,21,41.949,-82.9813,9.9,24,24.9,,7.3,8.4,0,0,0,0,283,4701,4984
2007,OH,996,41.4533,-82.5983,9.8,23,23.1,0.9,,,0,0,161,0,383,1884,2429
2011,OH,996,41.455,-82.5967,9.8,24.2,25.6,2.4,7.3,,0,12,0,0,34,3090,3136
2014,OH,996,41.4565,-82.5988,9.8,22.5,23.9,1.5,8.1,,0,57,0,0,116,1567,1740
2009,OH,975,41.635,-82.7417,9.8,23.2,23.3,1.5,7.8,,0,31,213,0,29243,2742,32229
2014,OH,975,41.6357,-82.7442,9.8,22.3,22.6,1.5,8.6,,0,304,0,0,113,1499,1916
2013,OH,975,41.6367,-82.74,9.8,22.1,23.5,1.2,6.7,,0,10027,3433,0,282,12516,26257
2007,OH,975,41.6367,-82.7467,9.8,23.4,24.5,1.5,,,0,170,7,0,445,3007,3628
2016,OH,975,41.6369,-82.7404,9.8,25.1,25.2,2,7.2,,0,179,0,0,73,3059,3312
2018,OH,34,41.7658,-82.8923,9.8,24,24,1.2,7.8,,0,0,6,12,159,1237,1414
2015,OH,34,41.7672,-82.8965,9.8,22.1,23.2,1.2,8,,0,0,0,8,57,2201,2266
2014,OH,34,41.7672,-82.8965,9.8,22.1,22.4,1.5,9,,0,0,6,4,9,4535,4555
2017,OH,34,41.7675,-82.8902,9.8,23.8,23.8,2.4,8.6,,0,36,0,0,23,3688,3748
