year,Agency,grid,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total,strata,DISCHARGE,AREA,PERIMETER
2017,OH,879,7,23.6,23.7,1.5,9,NA,0,0,6,4,162,4201,4373,1,Detroit R.,1066406006,353171.391
2014,ON,31,11.3,21.9,22,2.1,8.7,8.8,0,185,7,7,30,4147,4377,1,Detroit R.,1066406006,353171.391
2012,OH,918,8.5,22.5,22.6,3.7,6.6,NA,0,10,0,0,139,4308,4456,1,Detroit R.,1066406006,353171.391
2019,OH,911,10,23.7,24.8,2.1,7.5,NA,0,9,0,0,26,4466,4501,1,Detroit R.,1066406006,353171.391
2006,OH,8,7.9,23.5,24.1,1.3,7.9,NA,0,0,23,1180,880,2439,4523,1,Detroit R.,1066406006,353171.391
2018,ON,21,9.3,24.4,24.4,2,8.5,8.4,0,0,0,50,499,4041,4591,1,Detroit R.,1066406006,353171.391
2009,OH,918,8.8,23.8,24.8,3.1,2.2,NA,0,4491,40,0,14,108,4654,1,Detroit R.,1066406006,353171.391
2019,OH,905,10,23.9,24.8,2.1,7.1,NA,0,0,0,0,163,4581,4744,1,Detroit R.,1066406006,353171.391
2015,ON,21,9.2,23.2,24.6,2.2,8.1,8.5,0,32,4,18,32,4682,4769,1,Detroit R.,1066406006,353171.391
2012,OH,8,7.9,22.6,22.8,2.1,6.4,NA,0,10,0,0,301,4468,4779,1,Detroit R.,1066406006,353171.391
2014,OH,918,8.8,22,22.9,4,8.3,NA,0,0,0,0,136,4794,4930,1,Detroit R.,1066406006,353171.391
2006,ON,11,8.6,23.8,23.8,1.7,8.1,NA,7,0,0,0,1647,3294,4948,1,Detroit R.,1066406006,353171.391
2009,OH,911,8.5,23.9,25.4,1.8,4,NA,0,46,519,0,886,3518,4968,1,Detroit R.,1066406006,353171.391
2019,ON,21,9.9,24,24.9,NA,7.3,8.4,0,0,0,0,283,4701,4984,1,Detroit R.,1066406006,353171.391
2013,ON,11,9,21.7,21.8,2,8.8,8.6,0,0,31,65,542,4356,4994,1,Detroit R.,1066406006,353171.391
2018,OH,911,8.8,23.8,23.7,2.7,8.1,NA,0,0,0,4,323,4688,5015,1,Detroit R.,1066406006,353171.391
2011,OH,931,9.5,24.7,26.3,1.2,7.3,NA,0,22,42,0,206,4793,5064,1,Detroit R.,1066406006,353171.391
2016,ON,11,8.7,25.3,25.5,1.7,8.2,8.2,0,10,0,57,3674,1499,5240,1,Detroit R.,1066406006,353171.391
2010,ON,21,8.8,24.4,24.4,2,8.3,NA,0,8,0,280,3930,1087,5305,1,Detroit R.,1066406006,353171.391
2006,OH,896,7.9,23.7,24.3,1.5,7.9,NA,0,0,0,2692,497,2144,5333,1,Detroit R.,1066406006,353171.391
2013,OH,8,8.2,21.4,22.8,2.4,6.9,NA,0,0,0,0,1150,4207,5356,1,Detroit R.,1066406006,353171.391
2017,OH,931,9.5,23.7,23.7,2.4,8.6,NA,0,0,0,4,141,5233,5378,1,Detroit R.,1066406006,353171.391
2017,OH,918,9.2,23.4,23.5,1.8,9.3,NA,0,0,0,4,394,5070,5468,1,Detroit R.,1066406006,353171.391
2010,OH,911,8.2,23.8,23.8,1.8,6.2,NA,0,29,6,0,637,4954,5626,1,Detroit R.,1066406006,353171.391
2010,OH,918,8.8,24.2,24.3,1.8,5.8,NA,5,44,414,0,206,5092,5761,1,Detroit R.,1066406006,353171.391
2006,ON,20,9,24.3,24.4,2.7,7.6,NA,0,4,54,31,2708,3012,5808,1,Detroit R.,1066406006,353171.391
2014,OH,911,8.5,21.8,22.9,3.1,8.7,NA,0,0,0,0,66,5866,5932,1,Detroit R.,1066406006,353171.391
2016,OH,931,9.5,25.1,25.2,2.7,8.1,NA,0,0,0,0,4,5962,5966,1,Detroit R.,1066406006,353171.391
2009,ON,20,8.5,22.8,25,2.3,3.2,NA,0,24,16,199,3685,2183,6107,1,Detroit R.,1066406006,353171.391
2014,ON,21,9,21.7,21.8,1.5,7.1,7.4,0,0,0,7,471,5719,6198,1,Detroit R.,1066406006,353171.391
2012,ON,20,8.5,23.2,23.5,2.3,8.1,9,0,40,20,3956,474,1713,6203,1,Detroit R.,1066406006,353171.391
2017,ON,20,8.9,23.6,24.2,2.5,7.2,7.8,0,207,0,0,20,5976,6203,1,Detroit R.,1066406006,353171.391
2017,OH,896,7.9,23.8,23.8,2.4,8.9,NA,0,0,0,4,106,6217,6326,1,Detroit R.,1066406006,353171.391
2013,OH,911,8.5,21.7,23.4,1.8,7.7,NA,4,0,0,0,326,6238,6567,1,Detroit R.,1066406006,353171.391
2006,OH,905,8.5,23.7,23.9,1.5,7.7,NA,0,9,30,1848,420,4529,6837,1,Detroit R.,1066406006,353171.391
2006,ON,21,9.1,24.2,24.3,3.1,7.8,NA,0,37,0,91,2453,4439,7020,1,Detroit R.,1066406006,353171.391
2006,OH,886,6.7,23.9,24.6,1.8,6.7,NA,0,0,0,478,175,6593,7246,1,Detroit R.,1066406006,353171.391
2018,ON,11,9.3,24.5,25.6,2,6.5,7.6,0,0,0,28,4146,3404,7578,1,Detroit R.,1066406006,353171.391
2018,OH,918,9.2,23.9,23.9,2.7,8,NA,0,9,0,8,146,7797,7960,1,Detroit R.,1066406006,353171.391
2009,ON,10,6.1,23.3,24.3,2.3,7.5,NA,0,0,63,4,7225,749,8041,1,Detroit R.,1066406006,353171.391
